step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
7.0,0,0.0,0.0,14.149685658978342,0,0.0,0.9526965175089995,0,0.0
14.0,0,0.0,0.0,12.86116567675529,0,0.0,0.8374229039720618,0,0.0
21.0,4,12.0,0.6666666666666666,8.828796691830473,4,12.0,0.5088854346847106,4,12.0
28.0,7,55.0,2.391304347826087,8.314535329080783,7,55.0,0.5426963346072161,7,55.0
35.0,12,121.0,4.172413793103448,7.891247646901209,12,121.0,0.4637300078355482,12,121.0
42.0,6,18.0,0.5806451612903226,5.1240268061025755,6,118.0,0.3030047973167588,6,118.0
49.0,5,36.0,1.1612903225806452,9.36141341346853,5,45.0,0.4560461907966305,5,45.0
56.0,9,87.0,2.806451612903226,8.977515444342332,9,87.0,0.45098099378336287,9,87.0
63.0,9,150.0,5.357142857142857,8.003726302642523,9,150.0,0.3819235383626833,9,150.0
70.0,12,227.0,6.485714285714286,7.729976295071687,12,227.0,0.4455236316645499,12,227.0
77.0,14,319.0,9.382352941176471,6.725693068291365,14,319.0,0.3523377052288721,14,319.0
84.0,18,436.0,11.179487179487179,6.839340660239764,18,436.0,0.31536300896065733,18,436.0
91.0,10,138.0,3.45,5.7844682763383615,10,365.0,0.3260402026030184,10,365.0
98.0,5,25.0,0.5681818181818182,9.609928691440638,5,101.0,0.5715043611682896,5,101.0
105.0,9,22.0,0.4888888888888889,6.636489004142041,9,106.0,0.3106332019216092,9,106.0
112.0,16,113.0,2.825,6.469656829774147,16,176.0,0.30893748463563503,16,176.0
119.0,22,251.0,6.435897435897436,5.105246886108156,22,314.0,0.21890486938321538,22,314.0
126.0,25,416.0,9.904761904761905,4.502077253024295,25,479.0,0.2734604127341724,25,479.0
133.0,29,604.0,13.727272727272727,4.162322417801071,29,667.0,0.21145473679780785,29,667.0
140.0,32,818.0,15.433962264150944,4.210017231196137,32,881.0,0.2008403697462205,32,881.0
147.0,37,1064.0,18.344827586206897,3.3307792267439993,37,1127.0,0.14532051682161673,37,1127.0
154.0,34,768.0,13.241379310344827,2.445920963788462,34,1154.0,0.1452288542375263,34,1154.0
161.0,18,155.0,2.3846153846153846,6.223664662101644,18,770.0,0.2982491675672594,18,770.0
168.0,9,46.0,0.696969696969697,5.206851338952035,9,750.0,0.2401864428372337,9,750.0
175.0,23,137.0,2.2096774193548385,5.6124398359869785,23,861.0,0.24583531655727345,23,861.0
182.0,23,156.0,2.5161290322580645,4.106574546523358,23,837.0,0.1586119306912834,23,837.0
189.0,11,63.0,1.0677966101694916,5.935954282572915,11,492.0,0.27436720806055087,11,492.0
196.0,12,37.0,0.5967741935483871,5.850716280710023,12,538.0,0.312834058449508,12,538.0
203.0,21,136.0,2.3859649122807016,5.191959322850601,21,643.0,0.2284807390891136,21,643.0
210.0,25,155.0,2.9245283018867925,3.5834336905956268,25,671.0,0.1379827566969712,25,671.0
217.0,11,57.0,0.9827586206896551,6.164357929610997,11,417.0,0.28385030506460857,11,417.0
224.0,8,28.0,0.4827586206896552,5.5535479826545,8,413.0,0.26958370200755527,8,413.0
231.0,22,124.0,2.2545454545454544,4.48212005692468,22,506.0,0.24728111915347084,22,506.0
238.0,22,145.0,2.265625,4.158721416322212,22,552.0,0.2606291395334489,22,552.0
245.0,13,52.0,0.7647058823529411,5.675364720575082,13,366.0,0.2653762042236819,13,366.0
252.0,12,34.0,0.4927536231884058,5.037614834578159,12,382.0,0.23843890816149166,12,382.0
259.0,22,122.0,1.967741935483871,5.178807686373689,22,461.0,0.2425682059560865,22,461.0
266.0,23,146.0,2.246153846153846,4.449290910540864,23,514.0,0.17086646380332118,23,514.0
273.0,15,75.0,1.2096774193548387,6.370117134203245,15,367.0,0.30893100947733443,15,367.0
280.0,9,24.0,0.4,5.320035991631881,9,402.0,0.26658789210084116,9,402.0
287.0,22,141.0,2.389830508474576,4.8460821684296675,22,498.0,0.2162436387532619,22,498.0
294.0,23,168.0,2.847457627118644,4.167024375873259,23,564.0,0.21552964003096564,23,564.0
301.0,16,74.0,1.2333333333333334,6.392943718659748,16,403.0,0.3129123157164647,16,403.0
308.0,9,21.0,0.3620689655172414,5.709955997990577,9,378.0,0.26935181193834673,9,378.0
315.0,21,123.0,2.411764705882353,5.970344623394095,21,439.0,0.23892112148588845,21,439.0
322.0,18,120.0,2.3076923076923075,5.561096459446196,18,472.0,0.2654996265282069,18,472.0
329.0,3,21.0,0.45652173913043476,7.300948564357093,3,231.0,0.3577066190410447,3,231.0
336.0,8,20.0,0.40816326530612246,6.8758674423442026,8,213.0,0.37203574151051405,8,213.0
343.0,22,130.0,2.9545454545454546,6.114891411609687,22,313.0,0.2780667094193676,22,313.0
350.0,16,119.0,2.7674418604651163,4.7104617437480805,16,335.0,0.23228195213161104,16,335.0
357.0,7,43.0,1.1025641025641026,8.436877156986398,7,139.0,0.42117119392349645,7,139.0
364.0,8,21.0,0.5121951219512195,7.5933140494151194,8,114.0,0.3650173009724707,8,114.0
371.0,14,104.0,3.3548387096774195,6.72656159011514,14,168.0,0.22442474285159994,14,168.0
378.0,5,40.0,1.4814814814814814,5.764853174815689,5,153.0,0.2962033026453857,5,153.0
385.0,3,18.0,0.6428571428571429,10.21490818881593,3,27.0,0.5846541678031889,3,27.0
392.0,4,14.0,0.42424242424242425,9.203820929696997,4,28.0,0.5991930226540918,4,28.0
399.0,7,55.0,1.6176470588235294,9.540628736158007,7,64.0,0.6148802112332447,7,64.0
406.0,5,24.0,0.631578947368421,6.621103653251264,5,59.0,0.41703900128478394,5,59.0
413.0,5,28.0,0.7567567567567568,10.039879453304582,5,41.0,0.6027484922848902,5,41.0
420.0,6,20.0,0.5128205128205128,8.231781655377562,6,51.0,0.4592434911609375,6,51.0
427.0,8,70.0,1.8918918918918919,9.614978996757998,8,83.0,0.529724690811318,8,83.0
