step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.210418152898145,0,0.0,0.8957332175846605,0,0.0
10.0,0,0.0,0.0,13.180389433081734,0,0.0,0.9431489861282691,0,0.0
15.0,1,1.0,0.058823529411764705,10.399833601948908,1,1.0,0.7088898007019515,1,1.0
20.0,6,23.0,1.0952380952380953,8.561585816522355,6,23.0,0.5157939118044691,6,23.0
25.0,8,61.0,2.44,8.659173632052664,8,61.0,0.5333968144854928,8,61.0
30.0,11,107.0,3.566666666666667,7.05848941623844,11,107.0,0.4794875382438362,11,107.0
35.0,4,37.0,1.0,7.6413405912000005,4,103.0,0.5367285991495967,4,103.0
40.0,4,6.0,0.14285714285714285,8.4406986261484,4,48.0,0.5230040907402046,4,48.0
45.0,7,33.0,0.673469387755102,9.34697493581409,7,35.0,0.5169738958889896,7,35.0
50.0,7,16.0,0.35555555555555557,7.293132177157516,7,47.0,0.4107001311310291,7,47.0
55.0,9,35.0,0.813953488372093,7.064635325203012,9,56.0,0.3760199320066867,9,56.0
60.0,14,101.0,2.2954545454545454,8.149456789762315,14,107.0,0.390169400759935,14,107.0
65.0,15,176.0,4.190476190476191,7.3155754481672615,15,178.0,0.2703454039419793,15,178.0
70.0,20,265.0,6.794871794871795,6.083672425398089,20,267.0,0.2938404590256949,20,267.0
75.0,21,366.0,9.15,5.622467382585908,21,368.0,0.32258854517998187,21,368.0
80.0,23,477.0,10.6,6.117799516430139,23,479.0,0.34932778684818655,23,479.0
85.0,26,603.0,12.5625,5.495732493611958,26,605.0,0.23383500627347645,26,605.0
90.0,31,748.0,15.914893617021276,4.146279131350128,31,750.0,0.1400071874901963,31,750.0
95.0,33,910.0,18.571428571428573,4.023695003508663,33,912.0,0.16412537565479327,33,912.0
100.0,36,1082.0,21.215686274509803,3.384729070385464,36,1084.0,0.1696618507765871,36,1084.0
105.0,40,1271.0,23.9811320754717,2.540169449232332,40,1273.0,0.1558115829059501,40,1273.0
110.0,44,1486.0,26.07017543859649,2.3427434356736527,44,1488.0,0.12212942907744198,44,1488.0
115.0,48,1717.0,27.693548387096776,2.5599055074499,48,1719.0,0.12471362406016386,48,1719.0
120.0,50,1964.0,30.6875,2.354240164046095,50,1966.0,0.10911627620311613,50,1966.0
125.0,53,2224.0,35.301587301587304,1.2986493625315174,53,2226.0,0.028315598230205456,53,2226.0
130.0,57,2505.0,36.838235294117645,1.903303171896313,57,2507.0,0.06283721536767634,57,2507.0
135.0,59,2796.0,41.11764705882353,1.548287145099204,59,2798.0,0.07243523926287901,59,2798.0
140.0,60,3096.0,44.869565217391305,1.558124940770053,60,3098.0,0.08640335834337391,60,3098.0
145.0,49,2295.0,30.6,2.335729254128005,49,3007.0,0.13022428254931512,49,3007.0
150.0,34,1149.0,14.73076923076923,4.22974582155425,34,2494.0,0.1995926667206113,34,2494.0
155.0,23,470.0,5.802469135802469,5.9993737344286275,23,1725.0,0.24154306150456842,23,1725.0
160.0,7,42.0,0.5454545454545454,5.821172965792079,7,1755.0,0.29487416562829916,7,1755.0
165.0,16,57.0,0.7702702702702703,6.168519371102279,16,1787.0,0.3081667615428535,16,1787.0
170.0,25,165.0,2.357142857142857,4.600954035019143,25,1895.0,0.14450487645211635,25,1895.0
175.0,41,342.0,5.2615384615384615,3.3661477391377375,41,2072.0,0.09505239653600057,41,2072.0
180.0,48,574.0,8.830769230769231,3.0671291122304174,48,2306.0,0.14071983657187834,48,2306.0
185.0,51,823.0,11.757142857142858,3.012592569897375,51,2555.0,0.14724814642666767,51,2555.0
190.0,53,1087.0,15.309859154929578,2.777821802167663,53,2819.0,0.13929758082456767,53,2819.0
195.0,56,1360.0,18.63013698630137,2.2612729711050514,56,3092.0,0.08297405173356573,56,3092.0
200.0,59,1647.0,21.38961038961039,2.5978255180192917,59,3379.0,0.10137392623387435,59,3379.0
205.0,49,1417.0,17.072289156626507,3.154165628087867,49,3237.0,0.14501663181050767,49,3237.0
210.0,37,838.0,10.21951219512195,3.7136934192054105,37,2659.0,0.15532226382334988,37,2659.0
215.0,28,400.0,4.819277108433735,5.916589916170888,28,1783.0,0.23140823289060355,28,1783.0
220.0,8,41.0,0.5466666666666666,5.308233627640435,8,1830.0,0.24915557000347707,8,1830.0
225.0,16,61.0,0.9104477611940298,5.532603222026056,16,1856.0,0.23353528295070164,16,1856.0
230.0,29,176.0,2.6666666666666665,4.511266471318381,29,1971.0,0.14431609216737537,29,1971.0
235.0,41,358.0,5.682539682539683,3.4195189292429036,41,2153.0,0.14572209421790203,41,2153.0
240.0,37,353.0,5.693548387096774,2.8335660539239904,37,1988.0,0.15280822925151977,37,1988.0
245.0,24,225.0,3.5714285714285716,4.932191177014973,24,1483.0,0.2276549821682201,24,1483.0
250.0,11,78.0,1.1818181818181819,7.321518035974743,11,798.0,0.31794979081799435,11,798.0
255.0,4,6.0,0.09836065573770492,7.136493563427924,4,795.0,0.3864257564805651,4,795.0
260.0,14,57.0,1.0555555555555556,5.827901842915201,14,824.0,0.20892306585850554,14,824.0
265.0,27,165.0,3.3,4.8619989416264415,27,932.0,0.17361956931789935,27,932.0
270.0,31,314.0,6.680851063829787,3.9836398221322815,31,1081.0,0.1715124965303981,31,1081.0
275.0,33,475.0,9.895833333333334,4.045179894587543,33,1242.0,0.2520776640261521,33,1242.0
280.0,33,640.0,12.307692307692308,4.452253807597561,33,1407.0,0.21610775614717997,33,1407.0
285.0,37,814.0,14.8,4.179656167425164,37,1581.0,0.17292257907507697,37,1581.0
290.0,39,1005.0,16.75,4.629023051707309,39,1772.0,0.23243643151800086,39,1772.0
295.0,41,1204.0,20.75862068965517,2.899518569028131,41,1971.0,0.11485652123226983,41,1971.0
300.0,46,1427.0,23.39344262295082,2.71126414087334,46,2194.0,0.10917926516997276,46,2194.0
305.0,50,1669.0,26.919354838709676,2.282944947706318,50,2436.0,0.10335800571537988,50,2436.0
310.0,53,1926.0,30.571428571428573,1.4416800291221765,53,2693.0,0.04891383989450736,53,2693.0
315.0,56,2202.0,31.91304347826087,2.129030396779286,56,2969.0,0.11961289766662353,56,2969.0
320.0,58,2491.0,36.10144927536232,1.8765687779677955,58,3258.0,0.09938766365086947,58,3258.0
325.0,60,2787.0,39.25352112676056,1.9963615191280824,60,3554.0,0.07313529977247742,60,3554.0
330.0,60,3087.0,42.875,1.9720773253806954,60,3854.0,0.06002960578178335,60,3854.0
335.0,62,3392.0,45.83783783783784,1.9465987070221094,62,4159.0,0.08988057549526184,62,4159.0
340.0,63,3705.0,50.75342465753425,1.622570358437111,63,4472.0,0.06617343670056507,63,4472.0
345.0,64,4022.0,54.351351351351354,1.6789678782805888,64,4789.0,0.06787483993594387,64,4789.0
350.0,65,4343.0,55.67948717948718,2.067350897298085,65,5110.0,0.07609775612275574,65,5110.0
355.0,67,4672.0,59.8974358974359,1.7240331413377334,67,5439.0,0.0705391727010121,67,5439.0
