Step,Waiting_Time,Queue_Length,Density
1,0.0,0,0.06340260655160268
2,0.0,0,0.08453680873547025
3,0.0,0,0.1268052131032054
4,0.0,0,0.1268052131032054
5,0.0,0,0.1268052131032054
6,0.0,0,0.14793941528707294
7,0.0,0,0.16907361747094052
8,0.0,0,0.190207819654808
9,0.0,0,0.190207819654808
10,0.0,0,0.190207819654808
11,0.0,0,0.190207819654808
12,0.0,0,0.2113420218386756
13,0.0,0,0.23247622402254317
14,1.0,3,0.2536104262064108
15,4.0,9,0.2536104262064108
16,7.0,9,0.23247622402254317
17,11.0,12,0.2536104262064107
18,15.0,12,0.2747446283902783
19,19.0,12,0.2958788305741459
20,24.0,15,0.2958788305741459
21,29.0,15,0.4015498414934836
22,35.0,18,0.4015498414934836
23,42.0,21,0.44381824586121876
24,50.0,24,0.44381824586121876
25,59.0,27,0.4226840436773512
26,68.0,27,0.46495244804508623
27,77.0,27,0.48608665022895375
28,87.0,30,0.48608665022895375
29,97.0,30,0.48608665022895375
30,107.0,30,0.48608665022895375
31,117.0,30,0.5283550545966889
32,128.0,33,0.5283550545966891
33,139.0,33,0.5072208524128214
34,151.0,36,0.5072208524128214
35,165.0,42,0.5072208524128214
36,180.0,45,0.5072208524128214
37,197.0,51,0.5072208524128214
38,215.0,54,0.5283550545966889
39,234.0,57,0.5283550545966889
40,254.0,60,0.5494892567805565
41,227.0,54,0.5283550545966891
42,226.0,48,0.5494892567805565
43,228.0,48,0.5917576611482916
44,236.0,45,0.570623458964424
45,251.0,45,0.5494892567805565
46,267.0,48,0.528355054596689
47,284.0,51,0.5072208524128216
48,301.0,51,0.5072208524128213
49,318.0,51,0.5072208524128213
50,336.0,54,0.5494892567805566
51,354.0,54,0.5494892567805565
52,372.0,54,0.5494892567805565
53,391.0,57,0.5494892567805565
54,412.0,63,0.5494892567805565
55,433.0,63,0.5706234589644241
56,455.0,66,0.5706234589644241
57,477.0,66,0.5706234589644241
58,499.0,66,0.5706234589644241
59,521.0,66,0.5494892567805566
60,543.0,66,0.5494892567805566
61,566.0,69,0.5494892567805566
62,589.0,69,0.5706234589644241
63,613.0,72,0.5706234589644241
64,637.0,72,0.5706234589644241
65,661.0,72,0.5706234589644241
66,686.0,75,0.5706234589644241
67,711.0,75,0.6128918633321592
68,736.0,75,0.6128918633321592
69,761.0,75,0.6340260655160268
70,787.0,78,0.6762944698837619
71,813.0,78,0.6762944698837619
72,839.0,78,0.6974286720676295
73,865.0,78,0.718562874251497
74,773.0,72,0.6762944698837619
75,705.0,69,0.6762944698837619
76,638.0,63,0.6974286720676295
77,601.0,60,0.6762944698837619
78,590.0,54,0.6974286720676295
79,598.0,51,0.6551602676998943
80,612.0,51,0.6762944698837619
81,630.0,54,0.676294469883762
82,649.0,57,0.7185628742514972
83,668.0,57,0.6974286720676297
84,687.0,57,0.676294469883762
85,707.0,60,0.6551602676998943
86,727.0,60,0.6340260655160269
87,747.0,60,0.6340260655160268
88,767.0,60,0.6128918633321593
89,787.0,60,0.5917576611482918
90,808.0,63,0.6340260655160267
91,830.0,66,0.6340260655160267
92,852.0,66,0.6340260655160269
93,875.0,69,0.6340260655160269
94,899.0,72,0.6340260655160269
95,923.0,72,0.6340260655160269
96,948.0,75,0.6551602676998945
97,973.0,75,0.6551602676998945
98,998.0,75,0.6340260655160268
99,1023.0,75,0.6551602676998943
100,1048.0,75,0.6340260655160268
101,1073.0,75,0.6551602676998943
102,1100.0,81,0.6551602676998943
103,1127.0,81,0.6551602676998944
104,1154.0,81,0.6762944698837621
105,1182.0,84,0.6762944698837621
106,1210.0,84,0.6974286720676296
107,1238.0,84,0.7185628742514971
108,1266.0,84,0.7185628742514971
109,1294.0,84,0.7396970764353648
110,1323.0,87,0.7396970764353648
111,1353.0,90,0.7819654808030999
112,1383.0,90,0.7819654808030999
113,1413.0,90,0.7819654808030999
114,1248.0,84,0.7396970764353645
115,1103.0,78,0.760831278619232
116,960.0,75,0.760831278619232
117,871.0,75,0.7608312786192322
118,862.0,72,0.7819654808030997
119,877.0,72,0.8030996829869672
120,902.0,75,0.7819654808030996
121,927.0,75,0.7819654808030996
122,953.0,78,0.7396970764353646
123,979.0,78,0.760831278619232
124,1006.0,81,0.7819654808030997
125,1034.0,84,0.7819654808030997
126,1062.0,84,0.7608312786192323
127,1093.0,93,0.8030996829869674
128,1124.0,93,0.8242338851708348
129,1155.0,93,0.86650228953857
130,1187.0,96,0.9087706939063048
131,1220.0,99,0.9087706939063048
132,1253.0,99,0.9087706939063048
133,1286.0,99,0.9087706939063048
134,1320.0,102,0.9087706939063048
135,1355.0,105,0.9087706939063048
136,1392.0,111,0.9087706939063048
137,1429.0,111,0.9087706939063048
138,1466.0,111,0.8876364917224374
139,1504.0,114,0.8876364917224374
140,1543.0,117,0.908770693906305
141,1583.0,120,0.908770693906305
142,1625.0,126,0.9299048960901726
143,1667.0,126,0.9721733004579075
144,1709.0,126,0.9721733004579075
145,1751.0,126,1.0144417048256427
146,1793.0,126,1.0567101091933782
147,1628.0,120,1.0355759070095105
148,1467.0,114,1.0355759070095105
149,1313.0,111,1.056710109193378
150,1187.0,108,1.0355759070095105
151,1084.0,102,1.0144417048256429
152,1019.0,96,1.0144417048256429
153,953.0,90,0.9933075026417755
154,949.0,93,1.0355759070095105
155,889.0,87,0.9933075026417753
156,865.0,87,1.0144417048256427
157,847.0,84,0.9721733004579077
158,837.0,84,0.9933075026417753
159,831.0,84,0.9510390982740403
160,826.0,84,0.9510390982740403
161,855.0,87,0.9510390982740403
162,856.0,87,0.9510390982740401
163,870.0,84,0.9510390982740402
164,889.0,81,0.9087706939063049
165,911.0,84,0.9299048960901725
166,938.0,84,0.8876364917224375
167,967.0,87,0.9087706939063049
168,996.0,87,0.9087706939063049
169,1025.0,87,0.9299048960901725
170,1055.0,90,0.908770693906305
171,1086.0,93,0.9299048960901725
172,1117.0,93,0.908770693906305
173,1149.0,96,0.972173300457908
174,1181.0,96,0.9933075026417754
175,1214.0,99,0.9721733004579076
176,1247.0,99,0.9721733004579076
177,1280.0,99,0.9510390982740402
178,1314.0,102,0.972173300457908
179,1349.0,105,0.9510390982740402
180,1385.0,108,0.9721733004579076
181,1423.0,114,0.9933075026417754
182,1461.0,114,0.9933075026417754
183,1499.0,114,1.0144417048256429
184,1537.0,114,1.0567101091933777
185,1578.0,123,1.0567101091933777
186,1619.0,123,1.098978513561113
187,1441.0,120,1.056710109193378
188,1291.0,120,1.056710109193378
189,1181.0,117,1.098978513561113
190,1094.0,114,1.056710109193378
191,1023.0,108,1.056710109193378
192,967.0,108,1.0355759070095105
193,961.0,108,1.056710109193378
194,966.0,105,1.0355759070095105
195,973.0,99,1.0144417048256427
196,1002.0,96,1.0355759070095105
197,1017.0,93,1.0355759070095103
198,1041.0,90,1.0355759070095103
199,1072.0,93,1.0144417048256429
200,1103.0,93,0.9933075026417754
201,1135.0,96,0.9933075026417754
202,1167.0,96,0.9933075026417756
203,1199.0,96,0.9933075026417753
204,1231.0,96,0.9933075026417755
205,1264.0,99,0.9721733004579077
206,1298.0,102,0.9510390982740401
207,1333.0,105,0.9299048960901727
208,1370.0,111,0.9087706939063052
209,1407.0,111,0.9087706939063052
210,1445.0,114,0.9087706939063052
211,1483.0,114,0.9087706939063052
212,1523.0,120,0.9087706939063052
213,1563.0,120,0.9299048960901727
214,1604.0,123,0.9299048960901727
215,1645.0,123,0.9087706939063053
216,1686.0,123,0.9087706939063053
217,1727.0,123,0.9087706939063053
218,1769.0,126,0.9299048960901729
219,1812.0,129,0.9299048960901729
220,1666.0,123,0.9087706939063049
221,1527.0,117,0.9510390982740401
222,1416.0,111,0.9721733004579078
223,1326.0,105,0.9510390982740403
224,1237.0,99,0.9721733004579081
225,1151.0,93,0.9721733004579081
226,1081.0,87,0.9299048960901727
227,1089.0,84,0.9510390982740404
228,1027.0,78,0.908770693906305
229,965.0,72,0.9299048960901728
230,910.0,66,0.8876364917224375
231,881.0,63,0.8876364917224375
232,856.0,66,0.8453680873547026
233,833.0,66,0.86650228953857
234,811.0,66,0.8242338851708348
235,790.0,63,0.8030996829869673
236,811.0,63,0.8030996829869673
237,815.0,66,0.8030996829869673
238,838.0,69,0.8030996829869673
239,862.0,72,0.7608312786192324
240,886.0,72,0.7819654808030998
241,910.0,72,0.7608312786192324
242,934.0,72,0.8242338851708348
243,958.0,72,0.7819654808030998
244,983.0,75,0.8030996829869672
245,1008.0,75,0.8030996829869672
246,1033.0,75,0.8030996829869673
247,1058.0,75,0.7819654808030996
248,1084.0,78,0.7608312786192319
249,1110.0,78,0.7608312786192319
250,1137.0,81,0.7396970764353645
251,1166.0,87,0.7396970764353645
252,1196.0,90,0.7396970764353646
253,1226.0,90,0.7396970764353646
254,1257.0,93,0.7396970764353646
255,1288.0,93,0.7396970764353646
256,1320.0,96,0.7608312786192323
257,1352.0,96,0.7608312786192323
258,1384.0,96,0.7819654808030998
259,1416.0,96,0.8242338851708348
260,1249.0,93,0.8030996829869672
261,1086.0,93,0.8242338851708346
262,950.0,87,0.8242338851708346
263,838.0,81,0.7819654808030997
264,806.0,75,0.7819654808030997
265,815.0,72,0.8242338851708348
266,824.0,69,0.8030996829869674
267,835.0,66,0.8242338851708351
268,857.0,66,0.7819654808030997
269,870.0,63,0.7819654808030997
270,892.0,66,0.7608312786192322
271,914.0,66,0.7819654808030996
272,936.0,66,0.7608312786192322
273,960.0,72,0.824233885170835
274,984.0,72,0.7819654808030996
275,1009.0,75,0.8030996829869671
276,1034.0,75,0.7819654808030997
277,1060.0,78,0.7819654808030997
278,1087.0,81,0.8242338851708347
279,1114.0,81,0.8453680873547023
280,1141.0,81,0.86650228953857
281,1170.0,87,0.8453680873547026
282,1200.0,90,0.86650228953857
283,1230.0,90,0.9087706939063049
284,1263.0,99,0.9087706939063049
285,1296.0,99,0.9299048960901726
286,1330.0,102,0.95103909827404
287,1365.0,105,0.9721733004579076
288,1401.0,108,1.0355759070095103
289,1437.0,108,1.056710109193378
290,1473.0,108,1.0778443113772458
291,1511.0,114,1.0778443113772458
292,1550.0,117,1.0778443113772458
293,1384.0,114,1.0355759070095105
294,1241.0,114,1.0778443113772458
295,1101.0,111,1.0989785135611134
296,963.0,108,1.056710109193378
297,884.0,105,1.056710109193378
298,807.0,102,1.056710109193378
299,735.0,105,1.0144417048256429
300,694.0,99,1.056710109193378
301,660.0,99,1.0355759070095105
302,678.0,99,1.056710109193378
303,678.0,96,1.0144417048256429
304,690.0,96,1.0144417048256429
305,699.0,90,0.9933075026417754
306,710.0,87,1.0355759070095103
307,727.0,84,0.9933075026417755
308,745.0,81,0.972173300457908
309,768.0,78,0.9510390982740402
310,794.0,78,0.9299048960901727
311,820.0,78,0.9510390982740402
312,847.0,81,0.9299048960901727
313,876.0,87,0.9299048960901728
314,906.0,90,0.908770693906305
315,936.0,90,0.908770693906305
316,966.0,90,0.86650228953857
317,996.0,90,0.8876364917224375
318,1026.0,90,0.8665022895385699
319,1057.0,93,0.8665022895385699
320,1088.0,93,0.8453680873547023
321,1119.0,93,0.8453680873547023
322,1150.0,93,0.8876364917224377
323,1182.0,96,0.8876364917224377
324,1214.0,96,0.8453680873547025
325,1247.0,99,0.8453680873547025
326,1280.0,99,0.8876364917224375
327,1313.0,99,0.908770693906305
328,1347.0,102,0.908770693906305
329,1381.0,102,0.9299048960901727
330,1415.0,102,0.9299048960901727
331,1449.0,102,0.9299048960901727
332,1485.0,108,0.9299048960901727
333,1324.0,102,0.8876364917224374
334,1198.0,96,0.8876364917224374
335,1128.0,90,0.8876364917224374
336,1076.0,90,0.86650228953857
337,1044.0,84,0.86650228953857
338,1015.0,90,0.8876364917224375
339,1038.0,90,0.8453680873547023
340,1063.0,87,0.8453680873547023
341,1089.0,87,0.8030996829869672
342,1118.0,87,0.7819654808030997
343,1147.0,87,0.803099682986967
344,1176.0,87,0.8242338851708346
345,1205.0,87,0.8453680873547024
346,1234.0,87,0.8665022895385699
347,1263.0,87,0.8665022895385701
348,1292.0,87,0.8876364917224375
349,1321.0,87,0.908770693906305
350,1350.0,87,0.908770693906305
351,1379.0,87,0.8876364917224375
352,1410.0,93,0.8876364917224375
353,1442.0,96,0.8876364917224376
354,1476.0,102,0.9087706939063053
355,1510.0,102,0.8876364917224376
356,1546.0,108,0.9087706939063052
357,1582.0,108,0.9299048960901727
358,1619.0,111,0.9299048960901727
359,1656.0,111,0.9299048960901727
360,1693.0,111,0.9299048960901727
361,1730.0,111,0.9299048960901727
362,1768.0,114,0.9299048960901727
363,1807.0,117,0.9299048960901727
364,1847.0,120,0.9510390982740403
365,1887.0,120,0.9510390982740403
366,1723.0,114,0.9087706939063049
367,1560.0,111,0.9087706939063049
368,1424.0,108,0.9087706939063049
369,1303.0,105,0.8876364917224374
370,1185.0,102,0.908770693906305
371,1081.0,96,0.9299048960901727
372,993.0,93,0.9087706939063052
373,907.0,87,0.9299048960901728
374,854.0,81,0.8876364917224373
375,823.0,75,0.8876364917224373
376,823.0,72,0.8453680873547025
377,822.0,69,0.8665022895385702
378,828.0,66,0.8242338851708348
379,850.0,66,0.8242338851708348
380,861.0,63,0.7819654808030998
381,883.0,66,0.7819654808030998
382,906.0,69,0.7608312786192323
383,930.0,72,0.7396970764353649
384,954.0,72,0.7608312786192323
385,979.0,75,0.7185628742514972
386,1005.0,78,0.7185628742514972
387,1031.0,78,0.6974286720676296
388,1057.0,78,0.718562874251497
389,1084.0,81,0.6974286720676295
390,1111.0,81,0.6974286720676295
391,1138.0,81,0.6974286720676295
392,1165.0,81,0.7185628742514969
393,1192.0,81,0.7396970764353645
394,1219.0,81,0.7819654808030997
395,1246.0,81,0.7608312786192323
396,1273.0,81,0.7819654808030997
397,1300.0,81,0.7819654808030996
398,1327.0,81,0.803099682986967
399,1354.0,81,0.803099682986967
400,1381.0,81,0.803099682986967
401,1408.0,81,0.803099682986967
402,1437.0,87,0.803099682986967
403,1467.0,90,0.8242338851708346
404,1497.0,90,0.8453680873547023
405,1528.0,93,0.8453680873547023
406,1337.0,87,0.8030996829869672
407,1152.0,84,0.8030996829869672
408,994.0,78,0.8030996829869672
