step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
0,1,0.0,0.0,0.0
1,0,0.0,0.0,1.754050619690679
2,1,0.0,0.0,1.9849330917466432
3,1,0.0,0.0,2.5477385267460098
4,0,0.0,0.0,4.558502905784796
5,1,0.0,0.0,4.9450168170325925
6,1,0.0,0.0,5.354004560862668
7,0,0.0,0.0,7.362170075210743
8,0,0.0,0.0,9.255144269407094
9,2,0.0,0.0,7.766365298915507
10,0,0.0,0.0,8.900747183692726
11,1,0.0,0.0,8.663137458217404
12,1,0.0,0.0,9.077023586284875
13,0,0.0,0.0,9.819939263864349
14,1,0.0,0.0,9.579138456651318
15,1,0.0,0.0,9.290202245799001
16,0,0.0,0.0,9.49690542904125
17,1,0.0,0.0,8.368754582967979
18,1,0.0,0.0,7.510341971986781
19,1,1.0,0.07692307692307693,7.842350224973432
20,3,3.0,0.21428571428571427,7.642526908415562
21,3,5.0,0.3333333333333333,7.512771012358018
22,3,8.0,0.5333333333333333,7.938836550790031
23,4,11.0,0.6875,7.443416956602191
24,4,14.0,0.8235294117647058,7.023436280589283
25,4,18.0,1.0588235294117647,7.564090384976946
26,6,23.0,1.2777777777777777,7.347750308986046
27,6,28.0,1.4736842105263157,7.277645824406683
28,5,33.0,1.736842105263158,7.267834960173804
29,6,38.0,1.9,7.176669863564923
30,6,43.0,2.0476190476190474,7.04007747170964
31,5,48.0,2.2857142857142856,7.62409636484746
32,7,54.0,2.4545454545454546,7.535143757149837
33,4,31.0,1.3478260869565217,7.63244208510047
34,2,25.0,1.0869565217391304,8.15109873695942
35,3,27.0,1.125,8.248933734784822
36,1,12.0,0.5,9.015155959677974
37,2,14.0,0.5833333333333334,9.43245665051829
38,3,16.0,0.64,8.784389714180003
39,3,18.0,0.6923076923076923,8.042128006466266
40,3,21.0,0.8076923076923077,7.660004259233167
41,5,8.0,0.2857142857142857,6.56539963939296
42,4,11.0,0.3793103448275862,6.1716447041034925
43,5,16.0,0.5517241379310345,6.286351857855704
44,6,21.0,0.7,6.221759438073301
45,7,27.0,0.8709677419354839,6.462177598419316
46,6,33.0,1.064516129032258,6.974743773170608
47,8,40.0,1.2903225806451613,6.868169427015006
48,5,25.0,0.78125,7.237606323739797
49,3,26.0,0.8125,7.650423396931994
50,4,29.0,0.8787878787878788,7.742167652787731
51,4,32.0,0.9411764705882353,7.949786037482827
52,3,35.0,1.0294117647058822,8.435494704778653
53,2,27.0,0.7941176470588235,8.936700421599184
54,5,30.0,0.8333333333333334,8.366241301157753
55,3,33.0,0.9166666666666666,8.07046764192325
56,1,3.0,0.08333333333333333,8.37166562810456
57,3,2.0,0.05405405405405406,8.557159569353454
58,2,3.0,0.08108108108108109,8.99074363833077
59,3,6.0,0.16216216216216217,9.435494902603802
60,5,9.0,0.23076923076923078,9.090004643236126
61,4,13.0,0.34210526315789475,8.990832913856957
62,5,17.0,0.4358974358974359,8.908869691565952
63,5,22.0,0.5641025641025641,9.216756172346651
64,7,28.0,0.7,9.014716581628107
65,8,35.0,0.8536585365853658,8.760678796070142
66,7,42.0,1.024390243902439,8.537092652377368
67,10,51.0,1.2439024390243902,8.176032338206053
68,11,60.0,1.4285714285714286,7.752257036067833
69,11,71.0,1.6904761904761905,8.164667995803732
70,11,82.0,1.9523809523809523,8.218857208989508
71,12,93.0,2.1627906976744184,7.937708177436975
72,11,104.0,2.4186046511627906,7.747259061370183
73,11,115.0,2.6744186046511627,7.465929449828211
74,9,84.0,1.9090909090909092,7.333855566573118
75,9,70.0,1.5555555555555556,7.115074849202496
76,9,71.0,1.5434782608695652,6.830353989089161
77,9,80.0,1.7391304347826086,6.665405033051186
78,10,90.0,2.0,6.381192202304731
79,12,101.0,2.1956521739130435,6.143326893203083
80,13,113.0,2.4565217391304346,5.840478055913919
81,14,125.0,2.6595744680851063,5.5864818647775065
82,11,89.0,1.8936170212765957,5.833691578486503
83,13,81.0,1.6875,5.992044094398817
84,16,95.0,1.9,5.796601253754975
85,14,89.0,1.78,6.319176753765138
86,15,100.0,1.9607843137254901,6.440281204449495
87,15,114.0,2.1923076923076925,6.525779735240012
88,15,129.0,2.480769230769231,6.43975754822089
89,12,90.0,1.7307692307692308,6.421283016358019
90,10,52.0,0.9629629629629629,5.996434842879247
91,6,29.0,0.5370370370370371,6.008628012155276
92,8,27.0,0.4909090909090909,6.296131106063898
93,6,24.0,0.43636363636363634,6.746022005547995
94,6,30.0,0.5454545454545454,7.124836464070132
95,9,38.0,0.6785714285714286,7.46290657944916
96,9,46.0,0.8070175438596491,7.839605735490454
97,7,31.0,0.5636363636363636,8.16706807231884
98,6,21.0,0.3684210526315789,8.392933292796714
99,4,17.0,0.29310344827586204,8.654348698308088
100,5,22.0,0.3793103448275862,8.764143933158117
101,6,27.0,0.4576271186440678,8.78734770645628
102,3,7.0,0.11864406779661017,8.719285073030271
103,1,2.0,0.03389830508474576,8.844855058619412
104,2,4.0,0.06896551724137931,8.822461790748722
105,4,7.0,0.1206896551724138,8.773157274060715
106,5,12.0,0.20689655172413793,9.04839748191189
107,8,18.0,0.3050847457627119,9.051256962908
108,8,25.0,0.423728813559322,9.20430645440089
109,7,32.0,0.5423728813559322,9.300205397504723
110,8,39.0,0.6610169491525424,9.066224473424153
111,10,48.0,0.8135593220338984,9.004578398482444
112,9,57.0,0.9661016949152542,9.005792669752594
113,10,66.0,1.1379310344827587,8.513273259286708
114,11,76.0,1.2881355932203389,7.979716406740773
115,6,47.0,0.8245614035087719,7.856419231051509
116,7,49.0,0.875,7.766086461280161
117,10,58.0,1.0545454545454545,7.17059787051705
118,11,68.0,1.2142857142857142,6.438631820807075
119,13,81.0,1.4464285714285714,6.341993728165699
120,15,95.0,1.6964285714285714,6.289643925387844
121,17,112.0,2.0,6.598268025456389
122,19,130.0,2.4074074074074074,5.864219227228063
123,17,107.0,1.9454545454545455,5.783105382446771
124,17,113.0,2.017857142857143,5.737278833580127
125,19,131.0,2.2982456140350878,5.862138799460797
126,19,149.0,2.5689655172413794,5.861544832969058
127,20,169.0,2.9649122807017543,6.013529064298499
128,21,189.0,3.3157894736842106,6.19701206014148
129,22,210.0,3.6206896551724137,6.158336151974103
130,18,182.0,3.1379310344827585,6.317327065715194
131,16,163.0,2.810344827586207,6.177861036906032
132,15,150.0,2.542372881355932,6.350359556821289
133,13,143.0,2.4655172413793105,6.751008064039433
134,9,81.0,1.4210526315789473,7.067451007083939
135,9,58.0,1.0,7.1812076484785035
136,7,46.0,0.8070175438596491,7.314446017691618
137,11,56.0,0.9824561403508771,7.173021952396426
138,9,34.0,0.5862068965517241,7.033161033907133
139,7,24.0,0.41379310344827586,7.032852786061293
140,9,25.0,0.423728813559322,7.243226880544499
141,11,36.0,0.6101694915254238,7.674114980765377
142,11,47.0,0.7966101694915254,8.058768733075468
143,13,58.0,0.9508196721311475,7.984242290287714
144,12,69.0,1.1311475409836065,7.823994298693868
145,15,84.0,1.4,7.887514435174534
146,16,99.0,1.6229508196721312,7.850579868203207
147,17,115.0,1.8548387096774193,7.804454687675627
148,17,132.0,2.129032258064516,7.6658939313659245
149,19,150.0,2.4193548387096775,7.27011917354235
150,19,168.0,2.7096774193548385,7.0040440231177845
151,16,125.0,2.1186440677966103,6.7255331666557066
152,13,90.0,1.5,6.5331548251930105
153,11,78.0,1.278688524590164,6.449147408503185
154,9,79.0,1.3389830508474576,6.429876902767201
155,11,83.0,1.3833333333333333,6.369410906718141
156,8,46.0,0.7796610169491526,6.6328558429735756
157,7,42.0,0.7368421052631579,7.142778020774185
158,11,51.0,0.864406779661017,7.345616245857512
159,12,62.0,1.0333333333333334,7.4833114422927975
160,11,73.0,1.2372881355932204,7.494945456329205
161,13,85.0,1.4406779661016949,7.423190487794813
162,15,96.0,1.6,7.468375960523656
163,15,111.0,1.88135593220339,7.686188260418102
164,13,67.0,1.1166666666666667,7.677074408549582
165,12,66.0,1.0819672131147542,7.688518218895199
166,13,79.0,1.3166666666666667,7.698132307781635
167,15,93.0,1.55,7.501183477236823
168,15,107.0,1.7540983606557377,7.309249851695751
169,17,124.0,2.0327868852459017,7.324016386129165
